Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
Program total,,87.67 + 86.60 - 2.00 = 172.27,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4S,10.5,-0.86,0,-1,-1,-1,0,-1,-1,-1,1,9.64
4T,10.3,1.71,2,1,2,1,2,2,2,1,2,12.01
3F,5.3,1.6,3,1,2,2,2,2,3,3,2,6.9
FCCoSp3p4,3.5,1.07,2,2,3,1,2,2,3,2,2,4.57
StSq4,3.9,1.6,3,2,2,2,2,3,2,2,3,5.5
4S+REP,8.09,-4,-3,-3,-3,-3,-3,-3,-3,-3,-2,4.09
3A+3T,14.08,2.71,2,2,3,3,3,2,3,3,3,16.79
3A+1Lo+2S,11.33,-0.57,-1,-1,0,-2,1,-1,-1,-1,1,10.76
3Lo,5.61,0.9,1,0,2,1,2,0,2,1,2,6.51
3Lz,6.6,-0.6,-1,-1,-1,-1,0,-1,-1,-2,1,6
FCSSp3,2.6,0.29,-1,0,2,0,1,1,1,0,1,2.89
ChSq1,2,1.5,2,2,2,3,2,2,2,2,3,3.5
CCoSp3p4,3.5,0.93,2,1,2,1,2,2,2,2,2,4.43
Total,87.31,6.28,,,,,,,,,,93.59
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,9.25,9,9.25,9,9.25,9.75,9.5,9.75,9,9.29
Transition/Linking Footwork,,2,9,8.75,9.5,9,9,9.75,9.5,9.5,8.75,9.18
Performance/Execution,,2,9,8.5,9,8.75,9,9.5,9,9.75,8.5,8.96
Choreography/Composition,,2,9.25,9,9.5,9,9.25,9.75,9.5,9.5,9,9.29
Interpretation,,2,9.25,8.75,9.5,9.25,9.25,9.75,9.5,9.5,8.75,9.29
Total,,,,,,,,,,,,92.02
Deduction,,,,,,,,,,,,1
Program total,,93.59 + 92.02 - 1.00 = 184.61,,,,,,,,,,
Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
4S,10.5,3,3,2,3,3,3,3,3,3,3,13.5
4T,10.3,3,3,3,3,3,2,3,3,3,3,13.3
3F,5.3,2.1,3,3,3,3,3,3,3,3,3,7.4
FCCoSp3p4,3.5,1.14,2,2,3,2,2,3,3,2,2,4.64
StSq3,3.3,1.43,3,2,3,2,3,3,3,3,3,4.73
4T<+REP,6.16,-4,-3,-3,-3,-3,-3,-3,-3,-3,-3,2.16
3A<,6.49,-2.86,-3,-3,-2,-3,-2,-3,-3,-3,-3,3.63
3A+1Lo<+3S,14.63,0.14,0,0,0,0,-1,0,2,2,-1,14.77
3Lo,5.61,-0.4,-1,0,0,-1,-1,0,-2,1,-1,5.21
3Lz,6.6,1.5,3,2,2,2,2,2,3,2,1,8.1
FCSSp4,3,1,2,2,2,2,2,2,2,2,2,4
ChSq1,2,2,3,2,3,2,3,3,3,3,3,4
CCoSp3p4,3.5,1.21,3,1,3,2,2,3,3,2,2,4.71
Total,80.89,9.26,,,,,,,,,,90.15
Program components,,Factor,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
Skating Skills,,2,9.5,9.5,9.75,9.75,9.5,9.5,9.75,9.5,9.5,9.57
Transition/Linking Footwork/Movement,,2,9.25,9.5,9.5,9.5,9.5,9.5,9.5,9.25,9.25,9.43
Performance/Execution,,2,9.5,9.25,9.5,9.5,9.75,9.25,9.5,9.5,9.25,9.43
Choreography/Composition,,2,9.75,9.5,9.75,9.75,9.75,9.5,10,9.75,9.5,9.68
Interpretation,,2,9.75,9.75,9.5,9.75,9.75,9.75,9.75,9.5,9.5,9.68
Total,,,,,,,,,,,,95.58
Deduction,,,,,,,,,,,,2
Program total,,90.15 + 95.58 - 2.00 = 183.73,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4S,10.5,3,2,3,3,3,3,3,3,3,3,13.5
4T,10.3,3,3,3,2,3,3,3,3,3,3,13.3
3F,5.3,1.9,2,2,2,3,3,3,3,3,3,7.2
FCCoSp3p4,3.5,1.14,2,2,2,2,2,3,3,3,1,4.64
StSq3,3.3,1.36,3,3,2,2,3,3,3,3,2,4.66
4T+3T,16.06,2,1,1,2,2,2,3,2,3,2,18.06
3A+2T,10.78,3,3,3,3,3,3,3,3,3,2,13.78
3A+1Lo+3S,14.74,2.43,2,2,2,3,2,3,3,3,2,17.17
